model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,3,16,20,20000,0.9576,0.9031,0.9251,0.8772,0.9005,0.1354,0.7501,0.0178,0.4065,0.5419
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,3,16,20,20000,0.8208,0.7038,0.6645,0.8233,0.7354,0.0246,1.0405,0.214,0.6317,0.6071
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,3,16,20,20000,0.9526,0.8677,0.872,0.8619,0.8669,0.0753,1.165,0.1958,0.532,0.4566
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,3,16,20,20000,0.9257,0.8409,0.837,0.8467,0.8419,0.1324,1.3012,0.1185,0.5721,0.4396
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,3,16,20,20000,0.9363,0.8536,0.8441,0.8674,0.8556,0.076,0.8624,0.0579,0.4759,0.5519
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,3,16,20,20000,0.9798,0.9175,0.9322,0.9004,0.916,0.0078,1.0162,0.049,0.4868,0.4791
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,3,16,20,20000,0.9079,0.8214,0.8493,0.7815,0.814,0.0416,0.9135,0.0289,0.4393,0.4808
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,3,16,40,20000,0.7942,0.6938,0.6605,0.7976,0.7226,0.0311,1.0528,0.0096,0.6193,0.5882
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,3,16,40,20000,0.5012,0.5009,0.5095,0.0479,0.0876,0.0302,1.948,0.0285,0.0621,0.0319
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,3,16,40,20000,0.964,0.8977,0.8972,0.8983,0.8977,0.0204,0.96,0.0357,0.4904,0.5109
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,3,16,40,20000,0.9107,0.8263,0.8308,0.8194,0.8251,0.0134,1.0275,0.0496,0.4998,0.4864
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,3,16,40,20000,0.7728,0.6889,0.6586,0.7843,0.716,0.1327,1.2508,0.1624,0.6617,0.529
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,3,16,40,20000,0.9661,0.9028,0.8967,0.9105,0.9035,0.2048,1.5049,0.114,0.6103,0.4055
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,3,16,40,20000,0.8786,0.7819,0.7474,0.8516,0.7961,0.1969,0.7053,0.0215,0.4712,0.6681
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,3,16,40,20000,0.8624,0.7933,0.7813,0.8145,0.7976,0.3008,1.8112,0.0729,0.6717,0.3708
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,3,16,40,20000,0.9924,0.9526,0.945,0.9613,0.953,0.1223,1.2733,0.0233,0.5697,0.4474
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,3,16,40,20000,0.7559,0.6597,0.6339,0.7561,0.6896,0.0089,0.9851,0.086,0.5919,0.6008
