model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,7547,1453,0.0084,0.9916,0.0066,0.9849,0.9932
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,1420,7580,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,7364,1636,0.003,1.003,0.0023,0.9976,0.9946
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7455,1545,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,1539,7461,0.0083,0.9917,0.0098,0.9885,0.9968
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,1454,7546,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7545,1455,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,1396,7604,0.0007,1.0007,0.0007,1.0,0.9993
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1700_BIASED_ALL.csv,9000,4,1522,7478,0.0026,0.9973,0.0003,0.9914,0.9941
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1700_FAIR_ALL.csv,9000,4,7574,1426,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1800_BIASED_ALL.csv,9000,4,7498,1502,0.0008,0.9992,0.0003,0.996,0.9968
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1800_FAIR_ALL.csv,9000,4,7536,1464,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1900_BIASED_ALL.csv,9000,4,7466,1534,0.0051,0.9949,0.005,0.9941,0.9992
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1900_FAIR_ALL.csv,9000,4,7541,1459,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed2000_BIASED_ALL.csv,9000,4,7449,1551,0.0035,1.0035,0.0032,0.9942,0.9907
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed2000_FAIR_ALL.csv,9000,4,7468,1532,0.0013,1.0013,0.0002,0.9954,0.9941
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed200_BIASED_ALL.csv,9000,4,7478,1522,0.0026,0.9974,0.0019,0.9941,0.9967
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed200_FAIR_ALL.csv,9000,4,7502,1498,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed300_BIASED_ALL.csv,9000,4,1504,7496,0.0001,0.9999,0.0001,0.9992,0.9993
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed300_FAIR_ALL.csv,9000,4,7538,1462,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed400_BIASED_ALL.csv,9000,4,7510,1490,0.0036,1.0036,0.005,0.998,0.9944
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed400_FAIR_ALL.csv,9000,4,7556,1444,0.0,1.0,0.0,1.0,1.0
