model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,3,16,20,20000,0.9726,0.9029,0.8744,0.9411,0.9065,0.3664,2.0318,0.0664,0.7215,0.3551
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,3,16,20,20000,0.9741,0.9126,0.9245,0.8986,0.9114,0.2501,0.5908,0.0955,0.3612,0.6114
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,3,16,20,20000,0.989,0.9338,0.9694,0.8959,0.9312,0.0465,0.9043,0.0165,0.4389,0.4854
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,3,16,20,20000,0.9326,0.8453,0.8788,0.8011,0.8381,0.0175,1.039,0.0624,0.4645,0.4471
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,3,16,40,20000,0.8878,0.8019,0.8744,0.7051,0.7807,0.5192,4.6125,0.4763,0.6629,0.1437
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,3,16,40,20000,0.5183,0.5046,0.5031,0.7417,0.5996,0.0521,0.9317,0.0567,0.711,0.7631
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,3,16,40,20000,0.9873,0.9355,0.9561,0.9129,0.934,0.079,0.8473,0.0095,0.438,0.517
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,3,16,40,20000,0.9448,0.8731,0.8917,0.8493,0.87,0.1823,1.4733,0.0972,0.5674,0.3851
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,3,16,40,20000,0.9518,0.8678,0.9076,0.8189,0.861,0.6118,5.2174,0.3024,0.7568,0.1451
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,3,16,40,20000,0.9953,0.9635,0.9672,0.9595,0.9633,0.389,2.2889,0.0496,0.6909,0.3018
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,3,16,40,20000,0.9599,0.9108,0.9414,0.8761,0.9076,0.5781,0.2335,0.2956,0.1762,0.7543
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,3,16,40,20000,0.9545,0.9036,0.9171,0.8874,0.902,0.6011,4.2797,0.3207,0.7843,0.1833
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,3,16,40,20000,0.9974,0.9716,0.9764,0.9666,0.9715,0.1637,1.3963,0.0118,0.5767,0.413
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,3,16,40,20000,0.8536,0.805,0.8767,0.7098,0.7845,0.5776,5.9855,0.5805,0.6934,0.1159
